Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
CNH Industrial ,CNHI Quick QuoteCNHI,"1,848,492",0.06,13.28
Amcor plc,AMC Quick QuoteAMC,"2,897,704",0.06,505.05
Edenred,EDEN Quick QuoteEDEN,"463,629",0.05,0.00
Logitech Intern,LOGN Quick QuoteLOGN,"276,550",0.05,4.49
BCE Inc,BCE Quick QuoteBCE,"561,586",0.05,19.15
Brenntag SE,BNR Quick QuoteBNR,"289,859",0.05,-73.99
Sartorius Stedi,DIM Quick QuoteDIM,"45,133",0.05,0.00
Epiroc AB,EPI Quick QuoteEPI,"1,209,481",0.05,0.00
Tata Steel Ltd,TATASTEEL,"1,493,192",0.05,NA
Novozymes A/S,NZYM,"370,970",0.05,NA
Sompo Holdings ,8630,"614,521",0.05,NA
Porsche Automob,PAH3,"287,045",0.05,NA
Public Bank Bhd,PBBANK,"28,949,195",0.05,NA
Fortum Oyj,FORTUM,"811,717",0.05,NA
Kingspan Group ,KRX,"282,926",0.05,NA
Secom Co. Ltd,9735,"363,173",0.05,NA
Ajinomoto Co. I,2802,"916,186",0.05,NA
Bandai Namco Ho,7832,"367,986",0.05,NA
Nibe Industrier,NIBE,"2,241,987",0.05,NA
Standard Charte,STAN,"4,762,306",0.05,NA
NEC Corp,6701,"493,484",0.05,NA
Newcrest Mining,NCM,"1,531,322",0.05,NA
Publicis Groupe,PUB,"421,150",0.05,0.00
China Petroleum,386,"49,972,731",0.05,NA
Toyota Industri,6201,"299,604",0.05,NA
Nippon Steel Co,5401,"1,526,540",0.05,NA
Marubeni Corp,8002,"2,929,127",0.05,NA
Maruti Suzuki I,MARUTI,"247,423",0.05,NA
Engie SA,N/A,"1,983,397",0.05,NA
Swedish Match A,SWMA,"2,880,991",0.05,NA
Makita Corp,6586,"454,785",0.05,NA
Smith & Nephew ,SN,"1,649,483",0.05,NA
Deutsche Wohnen,DWNI,"449,646",0.05,NA
Ferrovial SA,FER,"895,496",0.05,NA
Swisscom AG,SCMN,"47,247",0.05,NA
Julius Baer Gro,BAER,"401,754",0.05,NA
ICICI Bank Ltd,ICICIBANK,"2,946,619",0.05,NA
Kirin Holdings ,2503,"1,425,014",0.05,NA
Nitori Holdings,9843,"138,794",0.05,NA
Argenx SE,1AE,"95,778",0.05,NA
Moncler SPA,MONC,"403,702",0.05,NA
EDP - Energias ,EDP,"5,258,954",0.05,NA
Country Garden ,6098,"3,260,701",0.05,NA
Sonic Healthcar,SHL,"892,586",0.05,NA
AP Moller - Mae,MAERSK,"10,354",0.05,NA
UCB SA,UCB,"226,971",0.05,NA
OTP Bank Nyrt,OTP,"427,901",0.05,NA
Innovent Biolog,1801,"2,476,847",0.05,NA
Coles Group Ltd,COL,"2,388,694",0.05,0.00
TDK Corp,6762,"676,092",0.05,NA
Halma plc,HLMA,"712,955",0.05,NA
Next plc,NXT,"238,793",0.05,NA
Hyundai Mobis C,12330,"118,847",0.05,NA
Nomura Holdings,8604,"5,697,480",0.05,NA
Croda Internati,CRDA,"252,440",0.05,NA
Japan Exchange ,8697,"990,719",0.05,NA
HelloFresh SE,HFG,"304,465",0.05,NA
Rentokil Initia,RTO,"3,495,628",0.05,NA
Sumitomo Realty,8830,"742,590",0.05,NA
Kikkoman Corp,2801,"342,073",0.05,NA
Singapore Telec,Z74,"14,181,830",0.05,NA
Asahi Kasei Cor,3407,"2,310,278",0.05,NA
Smurfit Kappa G,SKG,"482,740",0.05,NA
B3 SA - Brasil ,B3SA3,"11,406,954",0.05,NA
Fresenius Medic,FME,"378,658",0.05,NA
Petroleo Brasil,PETR4,"5,210,918",0.05,NA
CaixaBank SA,CABK,"8,212,688",0.05,NA
CTBC Financial ,2891,"34,804,939",0.05,NA
Spirax-Sarco En,SPX,"137,490",0.05,NA
POSCO,PKX Quick QuotePKX,"351,571",0.05,-7.09
WPP plc,WPP Quick QuoteWPP,"2,145,326",0.05,44.01
Geely Automobil,175,"9,927,097",0.05,NA
E.Sun Financial,2884,"23,546,327",0.04,NA
